% Model:              3Dmikrofon_4Elektrody_paramUhel_100Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.278
% Date:               Dec 6 2023, 11:56
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
5.672320068981571         -180.31438779868932      -165.1693453987664
5.759586531581287         -176.8206645790508       -165.3382642030556
5.585053606381854         -185.80903678425437      -164.9896141957325
5.672320068981571         -179.99853681285742      -165.08933821341287
5.759586531581287         -176.5907668765065       -165.25726383507558
5.846852994181004         -174.19879651912763      -165.49608925222577
5.934119456780721         -172.37814770542658      -165.80983757172214
6.021385919380437         -170.92905874240145      -166.20414467103643
6.1086523819801535        -169.74457734958503      -166.68670171629793
6.19591884457987          -168.76086241944472      -167.26793335056757
