% Model:              3Dmikrofon_4Elektrody_paramUhel_500Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 3 2024, 08:48
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
2.2863813201125716        -168.5722061771894       -147.184481079094
2.303834612632515         -170.54876394722268      -147.175177796542
2.321287905152458         -173.0799884465567       -147.1685545637096
2.3387411976724017        -176.53909959404677      -147.16460727163397
2.356194490192345         -195.07406691462083      -147.0677844293944
2.3736477827122884        -184.02072326978964      -147.16473238219035
2.3911010752322315        -178.94095811859444      -147.1688048611545
2.4085543677521746        -174.75186909291975      -147.17555343372536
2.426007660272118         -171.7986014513216       -147.18498228576877
2.443460952792061         -168.38963705141325      -147.10013001812354
2.530727415391778         -162.36093526922213      -147.19888848017956
2.6179938779914944        -158.8798799497946       -147.36559118471536
2.705260340591211         -156.45144258013727      -147.60290359231954
2.792526803190927         -154.60915594348086      -147.9148020990475
2.8797932657906435        -153.14588122045768      -148.3068568394211
2.9670597283903604        -151.95149442106532      -148.78666618090122
3.0543261909900767        -150.96056646691582      -149.36452191960694
3.141592653589793         -150.13118847162463      -150.05444452860223
3.2288591161895095        -149.43504829197542      -150.8758442343676
3.3161255787892263        -148.85227357121306      -151.85630385669322
3.4033920413889427        -148.3685384081831       -153.0365152492293
3.490658503988659         -147.97334276809784      -154.4797193643386
3.5779249665883754        -147.65894331447987      -156.2916790095526
3.6651914291880923        -147.41966802004146      -158.66942233606488
3.7524578917878086        -147.25146927611004      -162.04944978265573
3.839724354387525         -147.15163337068415      -167.78137642292853
3.857177646907468         -147.2083909880053       -171.61554146254275
3.8746309394274117        -147.19890210164755      -174.62784784850442
3.8920842319473548        -147.19209987935412      -179.25898675299095
3.9095375244672983        -147.18798008900362      -189.22604969885552
3.9269908169872414        -147.1185989015046       -192.11806299888207
3.944444109507185         -147.18777923262468      -178.03933488066363
3.961897402027128         -147.1916980444318       -173.8851585966647
3.9793506945470716        -147.19829904355186      -171.08098182859206
3.9968039870670147        -147.2075863390396       -168.96432572997725
4.014257279586958         -147.15185708474425      -168.84941661667102
4.101523742186674         -147.25192002630087      -162.58427630985196
4.1887902047863905        -147.42035266241064      -159.02722883988528
4.276056667386108         -147.65987269175253      -156.56140384048132
4.363323129985824         -147.97453246792085      -154.69694012870235
4.4505895925855405        -148.37000994414336      -153.21903416472048
4.537856055185257         -148.85405618946672      -152.01431026843517
4.625122517784973         -149.43718175686396      -151.0157251309547
4.71238898038469          -150.13372746563937      -150.18047838530703
4.799655442984406         -150.96358780292087      -149.47972611641123
4.886921905584122         -151.9551094705114       -148.89325985486818
4.974188368183839         -153.15025877900905      -148.4065316275801
5.061454830783556         -154.6145680987411       -148.0088896352204
5.1487212933832724        -156.45836824851014      -147.692484243133
5.235987755982989         -158.88928217508212      -147.45156782153327
5.323254218582705         -162.37523856490583      -147.28203876715241
5.410520681182422         -168.41867895949332      -147.18114527287818
5.427973973702365         -171.63961311722264      -147.0067029745587
5.445427266222308         -174.552909116771        -146.99758551741166
5.462880558742252         -178.71807639244182      -146.9910938686684
5.480333851262195         -184.27722251461628      -146.98722412358785
5.497787143782138         -195.03793925067384      -147.14730015332577
5.585053606381854         -168.17160690976405      -147.17997898652374
5.672320068981571         -162.25124286135016      -147.27968725878353
5.759586531581287         -158.80627319166183      -147.44799204515854
5.846852994181004         -156.39576079957425      -147.68762253188657
5.934119456780721         -154.56411823744267      -148.00265349348456
5.515240436302081         -176.95508162930605      -146.98734261996972
5.532693728822025         -173.34608906705876      -146.99133093348104
5.550147021341968         -170.74118396654052      -146.99794129492244
5.567600313861911         -168.72202826156612      -147.0071776815991

6.021385919380437         -153.10783889117556      -148.39879917099194
6.1086523819801535        -151.91835574220892      -148.8838657643529
6.19591884457987          -150.931017503988        -149.4684461287561
