% Model:              TEST_3Dmikrofon_4Elektrody_paramUhel_2000Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 11 2024, 08:25
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
0                         -165.1181860905882       -165.1187222436855
0.08726646259971647       -164.51103540962248      -165.85622346148912
0.17453292519943295       -164.0149592662554       -166.75795776946018
0.2617993877991494        -163.61287143094484      -167.86827536306535
0.3490658503988659        -163.2916677885807       -169.25469799641007
0.4363323129985824        -163.04124062682973      -171.0288509149492
0.5235987755982988        -162.8538707289297       -173.39820670476212
0.6108652381980153        -162.7238474743276       -176.82633202549326
0.6981317007977318        -162.6472318529548       -182.78897380493595
0.7155849933176751        -161.96125979521153      -184.71513487091676
0.7330382858376184        -161.9541500552706       -187.38318995459454
0.7504915783575618        -161.94908523420463      -191.22451244431147
0.767944870877505         -161.94605941979256      -197.9140787922736
0.7853981633974483        -162.62171338650052      -218.69558166360343
0.8028514559173916        -161.94611298841625      -193.76447524617632
0.8203047484373349        -161.94919236299063      -188.95712909120073
0.8377580409572782        -161.95431072731532      -185.84693175254176
0.8552113334772214        -161.96147398521043      -183.5560840751397
0.8726646259971648        -162.6465333611198       -182.79055849189638
0.9599310885968813        -162.72246039717317      -176.82595472117552
1.0471975511965976        -162.85181410403993      -173.39667628831407
1.1344640137963142        -163.03854109150603      -171.0263934898952
1.2217304763960306        -163.28835732120308      -169.25143099983742
1.3089969389957472        -163.60898437937203      -167.8642868068383
1.3962634015954636        -164.01052862137266      -166.75332897310085
1.4835298641951802        -164.50608815330355      -165.8510375259416
1.5707963267948966        -165.11273718736152      -165.11306758376026
1.6580627893946132        -165.85316104790738      -164.50847192898917
1.7453292519943295        -166.75847038523102      -164.0146610852513
1.8325957145940461        -167.87329588534453      -163.61461673423696
1.9198621771937625        -169.2656861045198       -163.29527193459847
2.007128639793479         -171.04834603770956      -163.04653585918882
2.0943951023931953        -173.4313038353434       -162.8606926407166
2.181661564992912         -176.88587097869532      -162.7320261567526
2.2689280275926285        -182.92707240385297      -162.65658645182356
2.2863813201125716        -183.63007737036185      -161.97754533764345
2.303834612632515         -185.89565529169693      -161.9703678368295
2.321287905152458         -188.89240448484543      -161.96522305833196
2.3387411976724017        -193.097292029949        -161.9621050483467
2.356194490192345         -217.89174211222854      -162.63204916717737
2.3736477827122884        -194.6817362050098       -161.961937342351
2.3911010752322315        -190.0398031397016       -161.96488755185834
2.4085543677521746        -186.72943921685788      -161.96986434070826
2.426007660272118         -184.27622192823873      -161.97687356760528
2.443460952792061         -182.62547358876972      -162.6576405517178
2.530727415391778         -176.73553579407613      -162.7341141444195
2.6179938779914944        -173.33155057353179      -162.8637748845898
2.705260340591211         -170.97396909623427      -163.05055488694907
2.792526803190927         -169.2065604718567       -163.30015477624084
2.8797932657906435        -167.8243137320365       -163.62027798269725
2.9670597283903604        -166.71666668405194      -164.02100660071278
3.0543261909900767        -165.8166366212767       -164.51540310296411
3.141592653589793         -165.0801811470512       -165.12048611503602
3.2288591161895095        -164.47654030660868      -165.8588507864451
3.3161255787892263        -163.98325107024056      -166.76145634006417
3.4033920413889427        -163.58338770295325      -167.87266800655675
3.490658503988659         -163.26395598298345      -169.26003911191546
3.5779249665883754        -163.01492522349417      -171.03525963617355
3.6651914291880923        -162.82863065765216      -173.4059471825973
3.7524578917878086        -162.69939958929302      -176.83606056474534
3.839724354387525         -162.62331793287674      -182.80279029523828
3.857177646907468         -162.03073517905335      -183.42385678403934
3.8746309394274117        -162.02356164644272      -185.6713671965631
3.8920842319473548        -162.0184387596939       -188.6978916232455
3.9095375244672983        -162.01536054503015      -193.28603319660343
3.9269908169872414        -162.5980891069082       -213.51030056019883
3.944444109507185         -162.0153262221491       -198.18402670150545
3.961897402027128         -162.01837014109003      -191.4556258505765
3.9793506945470716        -162.02345878644746      -187.54889393647258
3.9968039870670147        -162.03059815920398      -184.84249333219446
4.014257279586958         -162.6229582423954       -182.78301300620188
4.101523742186674         -162.69868802683283      -176.82621503404232
4.1887902047863905        -162.82758202810072      -173.39946255332717
4.276056667386108         -163.01355968395302      -171.03051836009698
4.363323129985824         -163.26229665327273      -169.25642330301673
4.4505895925855405        -163.58145755557925      -167.86989819483796
4.537856055185257         -163.98106907399188      -166.7594010586546
4.625122517784973         -164.47411665686658      -165.85745356209858
4.71238898038469          -165.077511133497        -165.119731286763
4.799655442984406         -165.81369212483918      -164.51529694650543
4.886921905584122         -166.71338312663835      -164.02156530595363
4.974188368183839         -167.82056762287556      -163.6215190997208
5.061454830783556         -169.20212576796632      -163.3020907242203
5.1487212933832724        -170.96841976615343      -163.0531879733242
5.235987755982989         -173.32399976788324      -162.867093659155
5.323254218582705         -176.72371153468322      -162.73809105798546
5.410520681182422         -182.60000897910044      -162.6622309091776
5.427973973702365         -184.3044240481941       -162.0661537755011
5.445427266222308         -186.77684489151997      -162.05886774500618
5.462880558742252         -190.13561359191618      -162.05364374650992
5.480333851262195         -194.94322939836192      -162.05047573730394
5.497787143782138         -213.7698427087713       -162.6371913187192
5.515240436302081         -193.2369414896088       -162.05029553486986
5.532693728822025         -188.93596211145098      -162.05328326396233
5.550147021341968         -185.9125019837424       -162.05832682672843
5.567600313861911         -183.63685928122317      -162.0654321874238
5.585053606381854         -182.9542841839063       -162.6622030927993
5.672320068981571         -176.9010795254227       -162.73802653422672
5.759586531581287         -173.44247247563075      -162.86697541116737
5.846852994181004         -171.05751400001992      -163.05299231616704
5.934119456780721         -169.27365238301945      -163.30178932838393
