% Model:              3Dmikrofon_4Elektrody_paramUhel_1000Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 3 2024, 08:41
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
3.4033920413889427        -153.79825549170664      -158.60569360858364
3.490658503988659         -153.40188856977048      -160.0687480636503
3.5779249665883754        -153.08634886141195      -161.9092007601199
3.6651914291880923        -152.84606512304288      -164.33287276680775
3.7524578917878086        -152.67706614245424      -167.80252921880054
3.839724354387525         -152.57669186293273      -173.79638863145686
3.857177646907468         -152.38800586087433      -175.50888412273633
3.8746309394274117        -152.37865003032812      -178.00160922190378
3.8920842319473548        -152.37197240084637      -181.50915282286334
3.9095375244672983        -152.3679689660036       -187.4443114165197
3.9269908169872414        -152.36663732700072      -202.2616086697936
3.944444109507185         -152.3679766866656       -187.34896908497532
3.961897402027128         -152.37198784746056      -181.460250857582
3.9793506945470716        -152.37867321348776      -177.96881484695476
3.9968039870670147        -152.38803679650232      -175.48420486001731
4.014257279586958         -152.5767294631426       -173.77069591013853
4.101523742186674         -152.6771430420669       -167.78964503439354
4.1887902047863905        -152.8461848129945       -164.32424192352084
4.276056667386108         -153.086516821537        -161.90268200412442
4.363323129985824         -153.40211259763623      -160.06348290549315
4.4505895925855405        -153.79854621228543      -158.60125072387297
4.537856055185257         -154.28343615908477      -157.40666176402846
4.625122517784973         -154.8671248994495       -156.41473132776076
4.71238898038469          -155.56373693349886      -155.58383683140622
4.799655442984406         -156.39287825288696      -154.88587279540891
4.886921905584122         -157.3824883333639       -154.3011283720696
4.974188368183839         -158.57391201402197      -153.81541005256153
5.061454830783556         -160.03163334459367      -153.4183286129947
5.1487212933832724        -161.86397518392334      -153.10223330991465
5.235987755982989         -164.27400151058856      -152.86152774790813
5.323254218582705         -167.71624025343158      -152.69222320055079
5.410520681182422         -173.6281706773947       -152.59164783416813
5.427973973702365         -175.8031741169318       -152.36681293659439
5.445427266222308         -178.39538916185887      -152.35746337467137
5.462880558742252         -182.10258131081432      -152.35078485465795
5.480333851262195         -188.62832819603312      -152.34677337673895
5.497787143782138         -208.56833080823205      -152.5582647284256
5.515240436302081         -186.27122143184553      -152.3467435261062
5.532693728822025         -180.89440441127107      -152.35072511797438
5.550147021341968         -177.58609900713242      -152.35737368103563
5.567600313861911         -175.19504820488112      -152.36669317948983
5.585053606381854         -173.93837116928847      -152.5915718373152
5.672320068981571         -167.8719544865799       -152.69207004608438
5.759586531581287         -164.3785096163435       -152.86129504636727
5.846852994181004         -161.94310005024272      -153.10191729753745
5.934119456780721         -160.09571127328252      -153.41792390674303
6.021385919380437         -158.62811933127736      -153.81490926666902
6.1086523819801535        -157.4297918371637       -154.3005215288744
6.19591884457987          -156.43514177211267      -154.88514641408966
